Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.666666666666666,6,12.5,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,13.2,7,13.2575,Graduate
2nd phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,7,14.15,8,14.51125,Graduate
Change of course,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Over 23 years old,Oral Hygiene,Higher education - degree (1st cycle),Higher Education - Doctorate (3rd cycle),Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,5,12.2,3,11.4,Dropout
1st phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,5,14.8,5,14.0,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Student,No,Yes,5,11.0,5,11.4,Graduate
Over 23 years old,Social Service (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,5,11.833333333333334,6,13.0,Graduate
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Student,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,11.75,5,11.8,Graduate
Transfer,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,12,12.333333333333334,8,12.0,Graduate
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,3,11.666666666666666,6,11.833333333333334,Dropout
2nd phase - general contingent,Tourism,Higher Education - Master's,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,Yes,Yes,6,11.285714285714286,4,13.5,Graduate
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,2,11.5,0,0.0,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,11.666666666666666,4,12.25,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,13.514285714285714,7,13.514285714285714,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,6,13.0,6,13.714285714285714,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,12.744285714285716,7,12.744285714285716,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Protection and security services personnel,cleaning workers,No,Yes,4,11.75,5,11.8,Graduate
2nd phase - general contingent,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.166666666666666,6,11.666666666666666,Graduate
1st phase - general contingent,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,13.4,6,12.375,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,"Skilled Workers in Industry, Construction and Craftsmen",Student,No,Yes,5,11.8,4,11.5,Dropout
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,6,13.533333333333331,6,13.533333333333331,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,14.166666666666666,4,14.0,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,14.652857142857142,8,14.755555555555556,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,13.6,5,13.0,Graduate
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,Yes,Yes,6,12.833333333333334,4,13.25,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,14.666666666666666,6,15.166666666666666,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,6,13.333333333333334,6,14.666666666666666,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,No,5,13.4,5,11.4,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,13.3125,8,15.6375,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Journalism and Communication,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,Yes,Yes,6,12.333333333333334,6,13.5,Graduate
1st phase - special contingent (Madeira Island),Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,13.0,6,11.833333333333334,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,Administrative staff,Student,No,Yes,2,12.5,0,0.0,Dropout
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,17.0,6,16.0,Graduate
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,13.5,6,13.0,Graduate
2nd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.714285714285714,6,11.833333333333334,Graduate
Change of course,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,13.0,8,13.927272727272726,Graduate
Technological specialization diploma holders,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.571428571428571,6,13.5,Graduate
2nd phase - general contingent,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,4,11.5,6,11.5,Dropout
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,13.5,6,13.285714285714286,Graduate
Over 23 years old,Veterinary Nursing,Can read without having a 4th year of schooling,Can read without having a 4th year of schooling,"Personal Services, Security and Safety Workers and Sellers",(blank),Yes,No,1,12.0,0,0.0,Dropout
Change of course,Nursing,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,7,14.95,8,14.7375,Graduate
Change of course,Advertising and Marketing Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,No,3,10.666666666666666,4,12.25,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,7,14.992857142857142,7,14.992857142857142,Graduate
Change of course,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.333333333333334,6,14.0,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Administrative staff,No,No,3,11.333333333333334,2,11.5,Dropout
Over 23 years old,Veterinary Nursing,Higher Education - Bachelor's Degree,Higher Education,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,6,16.142857142857142,6,14.666666666666666,Graduate
Change of institution/course,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,No,Yes,6,14.833333333333334,5,13.833333333333334,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,No,7,13.327142857142857,7,13.327142857142857,Dropout
2nd phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,4,11.0,2,11.5,Dropout
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,12,12.333333333333334,10,12.727272727272728,Dropout
3rd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Change of course,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,12,11.916666666666666,8,11.25,Dropout
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,11.833333333333334,6,11.0,Graduate
Over 23 years old,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,No,3,12.333333333333334,3,11.666666666666666,Dropout
Change of course,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,10,14.3,10,14.2,Graduate
